word,decision,source,page,confidence,status,reason,hint,sort_order
кошћел,approved,pdf_candidate,567,medium,needs_review,lowercase-entry|previous-line-closed,,
крадња,approved,pdf_candidate,568,medium,needs_review,lowercase-entry|previous-line-closed,,
кратер,deferred,pdf_candidate,571,medium,needs_review,lowercase-entry|previous-line-closed,,
крашко,approved,pdf_candidate,828,medium,needs_review,lowercase-entry|previous-line-closed,,
крвити,approved,pdf_candidate,573,medium,needs_review,lowercase-entry|previous-line-closed,,
крекет,approved,pdf_candidate,575,medium,needs_review,lowercase-entry|previous-line-closed,,
крепко,approved,pdf_candidate,576,medium,needs_review,lowercase-entry|previous-line-closed,,
креста,approved,pdf_candidate,577,medium,needs_review,lowercase-entry|previous-line-closed,,
крилно,approved,pdf_candidate,581,medium,needs_review,lowercase-entry|previous-line-closed,,
кринка,approved,pdf_candidate,650,medium,needs_review,lowercase-entry|previous-line-closed,,
критик,approved,pdf_candidate,584,medium,needs_review,lowercase-entry|previous-line-closed,,
крњаво,approved,pdf_candidate,586,medium,needs_review,lowercase-entry|previous-line-closed,,
крњити,approved,pdf_candidate,586,medium,needs_review,lowercase-entry|previous-line-closed,,
кружно,deferred,pdf_candidate,541,medium,needs_review,lowercase-entry|previous-line-closed,,
кћерка,deferred,pdf_candidate,595,medium,needs_review,lowercase-entry|previous-line-closed,,
куглоф,approved,pdf_candidate,597,medium,needs_review,lowercase-entry|previous-line-closed,,
кукуља,approved,pdf_candidate,599,medium,needs_review,lowercase-entry|previous-line-closed,,
кумати,approved,pdf_candidate,601,medium,needs_review,lowercase-entry|previous-line-closed,,
купажа,approved,pdf_candidate,602,medium,needs_review,lowercase-entry|previous-line-closed,,
лавица,approved,pdf_candidate,610,medium,needs_review,lowercase-entry|previous-line-closed,,
ладица,approved,pdf_candidate,610,medium,needs_review,lowercase-entry|previous-line-closed,,
лажара,approved,pdf_candidate,610,medium,needs_review,lowercase-entry|previous-line-closed,,
лакомо,approved,pdf_candidate,612,medium,needs_review,lowercase-entry|previous-line-closed,,
лампек,approved,pdf_candidate,614,medium,needs_review,lowercase-entry|previous-line-closed,,
лаћати,approved,pdf_candidate,617,medium,needs_review,lowercase-entry|previous-line-closed,,
лацман,approved,pdf_candidate,617,medium,needs_review,lowercase-entry|previous-line-closed,,
легати,approved,pdf_candidate,619,medium,needs_review,lowercase-entry|previous-line-closed,,
лежати,approved,pdf_candidate,620,medium,needs_review,lowercase-entry|previous-line-closed,,
лежиља,approved,pdf_candidate,621,medium,needs_review,lowercase-entry|previous-line-closed,,
ленити,approved,pdf_candidate,622,medium,needs_review,lowercase-entry|previous-line-closed,,
леност,approved,pdf_candidate,622,medium,needs_review,lowercase-entry|previous-line-closed,,
лењиво,deferred,pdf_candidate,622,medium,needs_review,lowercase-entry|previous-line-closed,,
